Technology_Score,Science_Score,Arts_Score,Business_Score,Recommended_Program
7,4,5,6,Technology
6,4,7,4,Technology
6,6,3,2,Technology
7,1,1,1,Technology
4,5,2,1,Technology
9,4,4,1,Technology
5,5,1,3,Technology
5,4,2,6,Technology
6,2,5,1,Technology
7,1,1,3,Technology
8,5,3,2,Technology
4,3,3,5,Technology
7,1,4,2,Technology
5,6,6,4,Technology
5,4,4,4,Technology
6,4,1,1,Technology
8,7,3,5,Technology
7,3,4,6,Technology
6,8,1,4,Technology
7,4,4,1,Technology
6,5,6,1,Technology
5,3,5,3,Technology
5,6,4,4,Technology
5,4,3,1,Technology
7,5,4,2,Technology
4,4,3,1,Technology
6,5,7,3,Technology
7,4,1,2,Technology
7,9,3,3,Technology
6,2,6,4,Technology
8,3,6,1,Technology
8,9,2,1,Technology
7,3,1,3,Technology
4,5,2,6,Technology
5,4,5,1,Technology
7,7,1,3,Technology
7,6,1,1,Technology
8,5,4,3,Technology
5,5,4,1,Technology
10,5,1,4,Technology
5,6,6,1,Technology
8,5,5,6,Technology
6,3,2,1,Technology
6,5,4,4,Technology
7,7,3,8,Technology
8,3,1,3,Technology
6,6,4,2,Technology
5,1,3,4,Technology
7,2,4,3,Technology
5,5,4,1,Technology
7,6,6,5,Technology
4,3,5,4,Technology
8,10,5,5,Technology
8,6,3,4,Technology
5,4,3,3,Technology
10,1,5,1,Technology
6,7,4,1,Technology
5,6,2,3,Technology
7,3,8,4,Technology
2,5,2,4,Technology
5,4,5,4,Technology
4,4,3,1,Technology
10,5,1,4,Technology
10,7,1,2,Technology
9,3,4,4,Technology
5,4,1,1,Technology
6,2,7,1,Technology
6,5,6,1,Technology
9,5,2,3,Technology
7,3,4,2,Technology
7,6,7,1,Technology
10,1,3,4,Technology
7,3,3,2,Technology
5,6,4,1,Technology
8,5,5,4,Technology
5,3,5,4,Technology
6,5,6,1,Technology
8,4,3,5,Technology
8,6,6,3,Technology
8,4,4,2,Technology
7,6,2,7,Technology
4,2,6,4,Technology
8,6,3,1,Technology
7,3,5,2,Technology
5,4,4,1,Technology
5,5,4,1,Technology
6,5,1,1,Technology
5,4,4,5,Technology
8,4,3,1,Technology
6,4,4,1,Technology
8,8,3,3,Technology
8,4,4,3,Technology
7,3,4,3,Technology
9,6,8,1,Technology
8,5,8,1,Technology
5,3,1,1,Technology
5,5,4,6,Technology
8,3,2,3,Technology
4,8,6,2,Technology
3,7,3,5,Technology
3,3,4,3,Technology
6,6,1,2,Technology
7,6,5,1,Technology
3,7,4,1,Technology
10,5,6,3,Technology
10,8,3,4,Technology
8,7,2,4,Technology
9,1,1,1,Technology
6,6,7,3,Technology
10,2,1,2,Technology
7,4,1,2,Technology
4,6,4,1,Technology
5,2,3,4,Technology
5,6,2,1,Technology
6,2,2,1,Technology
10,5,2,3,Technology
6,4,5,4,Technology
5,3,3,1,Technology
3,7,7,2,Technology
8,5,10,5,Technology
6,3,1,3,Technology
5,2,2,1,Technology
10,6,3,5,Technology
7,3,7,4,Technology
4,4,2,1,Technology
8,8,1,4,Technology
5,4,2,1,Technology
7,3,4,2,Technology
6,3,2,4,Technology
8,3,4,4,Technology
3,6,2,4,Technology
5,1,1,3,Technology
7,3,5,1,Technology
6,2,2,3,Technology
5,4,6,1,Technology
8,2,5,5,Technology
2,3,5,2,Technology
7,3,4,2,Technology
9,5,4,2,Technology
6,4,4,2,Technology
7,9,5,2,Technology
9,4,1,1,Technology
3,4,4,6,Technology
7,4,5,1,Technology
7,6,1,5,Technology
7,4,5,7,Technology
7,5,3,1,Technology
8,3,4,2,Technology
7,5,6,1,Technology
6,3,3,3,Technology
8,3,5,5,Technology
7,8,2,1,Technology
3,7,5,2,Technology
7,2,8,3,Technology
7,6,4,3,Technology
5,5,7,5,Technology
10,3,2,2,Technology
7,7,1,6,Technology
6,4,1,1,Technology
8,5,1,1,Technology
6,8,3,1,Technology
6,4,1,2,Technology
6,6,7,5,Technology
6,2,9,3,Technology
7,4,4,2,Technology
5,3,3,1,Technology
5,5,3,6,Technology
1,7,6,1,Technology
6,4,1,1,Technology
4,8,5,5,Technology
8,2,2,3,Technology
4,6,3,2,Technology
8,5,3,5,Technology
4,6,5,2,Technology
7,2,5,2,Technology
5,7,2,1,Technology
3,6,1,6,Technology
2,8,4,2,Technology
5,5,3,5,Technology
7,5,3,2,Technology
7,1,1,4,Technology
7,4,4,3,Technology
5,3,4,1,Technology
7,1,6,3,Technology
7,6,7,5,Technology
3,2,2,3,Technology
8,3,4,1,Technology
5,2,2,1,Technology
5,7,2,8,Technology
7,5,2,4,Technology
5,5,9,2,Technology
9,3,3,6,Technology
5,8,5,1,Technology
8,6,5,1,Technology
5,4,3,4,Technology
7,2,4,4,Technology
8,7,5,3,Technology
6,1,4,3,Technology
7,2,1,5,Technology
6,6,4,3,Technology
8,3,4,2,Technology
6,4,4,2,Technology
9,3,3,2,Technology
9,5,6,1,Technology
7,6,4,5,Technology
5,7,8,2,Technology
6,7,7,1,Technology
6,4,1,1,Technology
4,3,3,3,Technology
10,3,5,2,Technology
6,6,1,3,Technology
7,5,4,7,Technology
5,3,2,1,Technology
5,7,6,1,Technology
5,5,2,4,Technology
7,1,7,6,Technology
5,4,4,3,Technology
8,9,3,1,Technology
4,3,3,6,Technology
5,5,3,5,Technology
10,3,3,5,Technology
8,8,5,2,Technology
8,7,5,4,Technology
9,7,6,4,Technology
6,5,6,1,Technology
7,4,4,5,Technology
7,5,1,4,Technology
8,9,3,3,Technology
7,8,3,3,Technology
8,5,3,3,Technology
9,2,4,1,Technology
9,1,2,3,Technology
10,4,2,6,Technology
4,1,4,1,Technology
4,6,4,1,Technology
4,6,5,2,Technology
10,2,1,1,Technology
6,5,3,3,Technology
4,7,3,5,Technology
7,5,5,3,Technology
8,7,4,4,Technology
6,7,2,6,Technology
